Category,Prompt
Descriptive,Describe a futuristic city where all transportation is environmentally friendly.\
Narrative,Tell a story about a young inventor who creates a device that can instantly clean the ocean.\
Explanatory,Explain how photosynthesis works in plants.\
Persuasive,Convince someone to adopt a sustainable lifestyle to combat climate change.\
Instructional,Provide a step-by-step guide on how to build a simple solar-powered device at home.\
Question-Answer,What are the main differences between quantum and classical computers?\
Creative,Write a poem about the beauty of the night sky.\
Debate,Argue both sides of the debate on the use of artificial intelligence in healthcare.\
Comparison,Compare the impacts of solar and wind energy on the environment.\
Hypothetical Scenario,Imagine a world where water is more valuable than gold. Describe a day in the life of a person living in this world.\
Technical Explanation,Describe how blockchain technology can enhance data security.\
Historical,Narrate the events leading up to the signing of the Declaration of Independence.\
Futuristic Prediction,Predict the state of interstellar travel in the next 200 years.\
Advice,What advice would you give to someone starting their own tech startup?\
Mystery,Start a mystery story set in an abandoned space station.\